500.000000.1	0.087835
501.000000.1	0.132092
502.000000.1	0.161098
503.000000.1	0.169749
504.000000.1	0.158044
505.000000.1	0.131083
506.000000.1	0.096799
507.000000.1	0.063070
508.000000.1	0.036055
509.000000.1	0.019507
510.000000.1	0.014316
511.000000.1	0.018661
512.000000.1	0.029461
513.000000.1	0.044301
514.000000.1	0.062296
515.000000.1	0.083370
516.000000.1	0.106424
517.000000.1	0.127631
518.000000.1	0.140751
519.000000.1	0.140041
520.000000.1	0.123226
521.000000.1	0.091954
522.000000.1	0.050640
523.000000.1	0.005629
524.000000.1	-0.035641
525.000000.1	-0.066640
526.000000.1	-0.083849
527.000000.1	-0.087196
528.000000.1	-0.079363
529.000000.1	-0.065154
530.000000.1	-0.050545
531.000000.1	-0.040854
532.000000.1	-0.039093
533.000000.1	-0.045723
534.000000.1	-0.059390
535.000000.1	-0.077701
536.000000.1	-0.097701
537.000000.1	-0.116057
538.000000.1	-0.129086
539.000000.1	-0.132915
540.000000.1	-0.123978
541.000000.1	-0.099833
542.000000.1	-0.060296
543.000000.1	-0.008758
544.000000.1	0.047303
545.000000.1	0.097870
546.000000.1	0.133254
547.000000.1	0.146204
548.000000.1	0.133051
549.000000.1	0.094814
550.000000.1	0.037621
551.000000.1	-0.028987
552.000000.1	-0.095083
553.000000.1	-0.152502
554.000000.1	-0.195810
555.000000.1	-0.222867
556.000000.1	-0.234773
557.000000.1	-0.234387
558.000000.1	-0.224092
559.000000.1	-0.204561
560.000000.1	-0.175152
561.000000.1	-0.135368
562.000000.1	-0.086512
563.000000.1	-0.032890
564.000000.1	0.018164
565.000000.1	0.058412
566.000000.1	0.082022
567.000000.1	0.087300
568.000000.1	0.076317
569.000000.1	0.054401
570.000000.1	0.029814
571.000000.1	0.011882
572.000000.1	0.007688
573.000000.1	0.019863
574.000000.1	0.046522
575.000000.1	0.082193
576.000000.1	0.118945
577.000000.1	0.148118
578.000000.1	0.162402
579.000000.1	0.157144
580.000000.1	0.131148
581.000000.1	0.087630
582.000000.1	0.034029
583.000000.1	-0.020154
584.000000.1	-0.065696
585.000000.1	-0.095092
586.000000.1	-0.104027
587.000000.1	-0.093133
588.000000.1	-0.068237
589.000000.1	-0.037950
590.000000.1	-0.010627
591.000000.1	0.007351
592.000000.1	0.012324
593.000000.1	0.004028
594.000000.1	-0.014448
595.000000.1	-0.037837
596.000000.1	-0.059984
597.000000.1	-0.074508
598.000000.1	-0.075372
