0      0	0.5321         2.0652         0.1202         
0      1	0.5077         2.0531         0.3333         
0      2	0.0061         1.9951         0.5385         
0      3	0.0328         1.9961         0.7708         
1      0	-0.2793        1.9545         0.4607         
1      1	0.1299         2.0131         0.7835         
1      2	0.1383         2.0012         1.1764         
1      3	0.0572         1.9944         1.4134         
